		2021-11-18	2021-12-13	2021-12-21	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-31	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-04-23	2024-05-13	2024-05-17	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-13
evaporative cooling blackburn		9	12	9	14	10	11	-	2	-	-	-	-	5	-	-	1	2	1	1	1	1	2	4	2	2	4	5	7	3	2	3	3	4	4	4	2	3	3	2	3	3
evaporative cooling box hill		13	16	15	14	22	10	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	1	3	2	3	3	4	4	4	4	3	3	2	2	2	2	1	1	1	1
evaporative cooling brighton		39	45	42	29	37	44	3	1	2	2	2	2	3	2	2	2	3	3	1	1	1	3	2	2	3	3	4	2	1	1	2	2	2	2	2	2	2	2	3	4	8
evaporative cooling bulleen		23	16	14	25	25	19	2	3	2	3	3	3	3	3	3	2	2	1	2	2	2	2	2	2	2	2	3	2	4	3	4	4	4	3	4	4	4	2	2	2	5
evaporative cooling camberwell		9	15	7	9	27	21	1	2	3	3	3	4	4	2	1	3	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	1	1	3	1	9	8	4	4
evaporative cooling chadstone		12	10	8	18	8	21	3	1	2	3	4	3	1	1	1	1	1	1	1	1	1	1	2	1	2	6	6	6	5	5	5	4	4	4	2	1	3	1	2	2	2
evaporative cooling croydon		16	21	16	18	24	19	-	3	4	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
evaporative cooling doncaster		39	20	44	37	34	33	7	7	5	4	4	5	5	5	5	1	1	1	1	1	1	1	2	1	1	2	2	2	2	3	2	3	4	4	4	2	2	2	2	2	2
evaporative cooling eastern suburbs		1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	6	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
evaporative cooling ferntree gully		30	20	32	29	29	30	1	1	2	2	1	2	3	2	4	2	2	2	1	1	1	1	2	1	1	3	3	3	2	2	2	2	3	3	2	2	2	2	2	2	3
evaporative cooling forest hill		-	-	-	-	-	-	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
evaporative cooling glen iris		-	-	-	13	-	-	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	3	5	4	3	5	5	4	4	4	2	2	2	2	5	3
evaporative cooling glen waverley		-	35	51	37	43	-	3	4	4	2	2	3	4	3	2	1	1	1	1	1	2	1	1	2	1	3	3	3	3	4	4	4	4	5	4	3	3	3	2	4	3
evaporative cooling greensborough		10	12	12	9	9	9	6	5	4	4	4	6	6	5	4	5	4	4	3	5	4	5	5	5	5	6	5	4	5	5	4	6	6	5	4	5	5	5	5	7	4
evaporative cooling hawthorn		26	17	18	26	25	53	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
evaporative cooling kew		17	26	24	27	29	25	2	2	2	2	2	3	3	3	2	3	3	1	2	1	2	1	3	2	1	2	7	5	3	5	3	5	5	5	4	3	3	3	4	2	3
evaporative cooling lilydale		18	22	17	14	17	14	-	5	4	4	3	3	3	3	3	2	3	2	2	2	2	2	2	2	2	3	4	2	2	2	2	2	2	1	2	1	2	2	2	2	2
evaporative cooling malvern		17	15	16	28	31	25	3	1	1	1	1	3	2	3	1	1	1	1	2	3	3	3	2	2	2	2	5	4	4	6	4	4	4	3	2	1	2	3	2	2	3
evaporative cooling maroondah		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
evaporative cooling mitcham		6	5	6	5	7	6	3	3	3	3	3	3	3	3	3	3	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
evaporative cooling montrose		-	-	-	-	-	-	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	3	2	2	2	2	2	2	3	3	2	2	2
evaporative cooling mooroolbark		-	-	-	-	21	20	4	3	3	3	2	3	4	4	2	3	2	2	2	3	3	3	3	3	3	3	3	2	2	3	2	2	2	2	2	2	2	2	2	2	3
evaporative cooling nunawading		1	1	3	1	1	1	1	1	2	2	3	3	3	2	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1
evaporative cooling ringwood		24	22	30	15	19	19	-	-	3	4	-	4	4	3	2	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
evaporative cooling surrey hills		10	8	8	12	21	9	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	2	1	1	2	2	2	3	2	1	3	3	3	2	2	2	1	1	2	4
evaporative cooling templestowe		19	17	26	22	24	24	2	3	5	7	3	5	5	5	4	2	2	1	2	1	2	2	1	1	2	1	2	2	2	1	2	2	2	2	2	2	3	2	2	1	2
evaporative cooling vermont		1	1	1	1	1	1	2	4	3	3	2	3	4	6	4	2	2	2	3	3	3	4	3	3	4	5	6	6	5	5	5	5	5	5	4	3	3	2	4	4	3
evaporative cooling wantirna		29	28	33	39	29	45	3	1	2	2	2	2	3	1	1	1	1	1	1	1	2	1	2	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2
evaporative cooling warrandyte		51	-	-	-	-	-	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
heating and cooling balwyn		17	13	18	21	22	22	6	4	7	8	6	8	9	8	6	7	7	6	7	5	5	4	5	5	5	5	6	6	5	5	5	3	4	4	4	1	1	1	1	1	2
heating and cooling bayswater		3	3	1	3	3	4	-	1	2	-	3	4	-	-	-	-	-	-	-	-	-	8	7	5	6	2	3	4	4	5	3	2	2	1	1	1	2	1	2	2	4
heating and cooling blackburn		15	15	14	11	15	14	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	4	2	1	8	8	6	6	5	6	7	4	4	3	2	2	3	3	4	2	3
heating and cooling box hill		9	14	7	4	4	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	6	5	4	5	8	5	5	6	5	4	3	4	4	3	3	1	1	1	2
heating and cooling brighton		-	-	-	66	-	-	9	9	7	7	7	8	11	28	7	6	8	5	4	8	8	7	7	5	6	5	7	6	5	5	4	5	11	9	6	5	5	7	8	12	11
heating and cooling bulleen		15	14	13	18	16	14	9	9	12	11	11	11	11	11	9	9	8	10	4	4	5	4	6	7	8	10	11	11	12	12	12	8	7	9	8	6	6	4	3	2	3
heating and cooling camberwell		11	17	15	16	24	24	11	9	8	10	9	12	13	12	13	11	10	11	10	11	10	11	8	6	7	6	10	10	7	9	7	8	8	5	5	6	6	5	2	2	5
heating and cooling chadstone		3	4	4	5	8	9	3	2	1	1	1	1	1	2	1	2	2	2	2	2	2	2	3	3	4	3	4	4	4	4	4	4	4	3	3	3	3	3	3	2	3
heating and cooling croydon		3	4	2	3	3	4	-	1	3	-	-	-	-	-	-	-	-	-	-	-	-	8	8	3	3	3	3	3	2	3	3	3	3	2	1	1	2	1	1	1	1
heating and cooling doncaster		28	31	37	37	35	37	15	10	8	9	5	16	19	16	14	15	10	7	8	8	8	6	3	2	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1
heating and cooling eastern suburbs		7	7	5	7	6	6	5	5	2	4	2	4	4	2	2	2	5	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	2
heating and cooling ferntree gully		23	22	28	19	24	21	-	-	-	-	-	-	-	-	11	-	-	-	-	-	-	11	10	10	9	8	9	10	6	8	6	9	10	7	7	6	9	7	6	7	6
heating and cooling forest hill		-	-	-	-	-	-	3	1	2	3	2	5	5	5	5	4	5	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	3	4
heating and cooling glen iris		20	17	19	18	13	19	7	6	10	7	6	9	9	11	10	3	3	4	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	5
heating and cooling glen waverley		-	29	-	34	-	-	10	13	11	11	7	9	9	6	5	6	9	9	9	8	10	9	10	7	7	7	10	9	7	7	6	8	8	7	7	4	4	3	3	3	3
heating and cooling greensborough		27	34	28	34	27	21	13	13	11	14	14	13	14	15	12	11	11	11	11	16	13	12	12	11	11	11	12	12	10	11	10	10	10	9	9	10	11	10	10	9	10
heating and cooling hawthorn		19	19	16	20	21	28	10	8	8	9	7	12	8	9	6	6	6	4	5	5	4	2	2	2	2	2	2	4	3	3	5	4	5	5	5	2	4	5	5	6	6
heating and cooling kew		18	25	25	21	26	24	5	3	3	4	5	5	5	8	2	2	2	3	3	4	4	5	5	5	3	5	6	7	7	8	6	6	6	4	5	3	3	6	2	2	5
heating and cooling lilydale		6	6	9	8	7	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	5	7	5	8	5	8	8	6	8	7	5	4	4	4	3	2	3	2
heating and cooling malvern		-	15	15	21	21	22	6	5	5	8	7	8	9	9	8	10	10	8	9	10	10	7	7	7	6	6	9	4	4	4	3	1	2	2	2	1	2	2	1	2	2
heating and cooling maroondah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
heating and cooling mitcham		1	1	1	1	1	1	3	1	1	1	1	2	2	1	1	2	2	1	1	2	3	2	3	3	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2
heating and cooling montrose		-	-	-	-	98	-	4	6	5	4	4	4	4	4	4	5	6	5	3	2	3	3	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	3	2
heating and cooling mooroolbark		54	43	70	74	28	33	7	6	8	8	8	6	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
heating and cooling nunawading		4	3	4	6	4	4	1	1	2	2	2	2	2	2	2	4	4	3	3	3	4	4	4	4	4	4	5	5	4	5	6	5	5	6	5	6	6	3	2	3	3
heating and cooling ringwood		3	3	3	2	3	3	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	6	5	2	4	2	4	2	1	2	1	1	1	1	1	1	1	1	1	8	1
heating and cooling surrey hills		17	21	12	14	16	18	5	4	7	7	6	5	5	5	5	3	4	2	2	5	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	3	2
heating and cooling templestowe		8	9	11	16	12	28	7	9	5	5	6	7	7	8	6	7	6	5	5	8	6	6	6	5	5	4	6	5	7	7	6	4	4	5	5	5	4	4	4	4	4
heating and cooling vermont		7	6	6	6	5	6	7	6	7	6	4	6	6	5	5	7	5	5	4	5	6	6	5	5	3	3	6	3	3	3	2	2	2	2	2	1	1	1	1	1	1
heating and cooling wantirna		59	63	64	65	57	67	7	9	8	8	2	2	2	2	1	5	5	6	5	2	5	1	4	1	1	5	5	3	5	5	5	5	5	5	5	2	3	3	4	4	3
heating and cooling warrandyte		84	-	-	-	-	-	3	3	4	4	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hydronic heating balwyn		32	15	11	26	15	25	7	4	3	3	4	4	5	5	5	4	3	4	4	5	4	4	4	5	4	9	5	4	4	4	5	4	5	3	2	2	2	3	2	3	4
hydronic heating bayswater		11	11	10	10	11	10	6	5	5	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hydronic heating blackburn		13	17	10	13	14	19	2	2	2	3	1	1	1	1	1	1	3	1	1	2	2	2	2	2	4	4	2	2	2	3	2	3	3	2	2	3	3	2	2	1	1
hydronic heating box hill		18	31	24	19	27	25	6	3	2	2	2	3	4	3	3	1	1	2	2	2	2	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	2	3	3
hydronic heating brighton		-	63	-	10	12	10	6	6	4	7	5	8	8	8	7	7	8	7	5	7	4	2	1	1	1	5	5	1	1	2	1	1	2	2	2	2	2	2	4	6	6
hydronic heating bulleen		2	4	4	3	3	4	1	1	1	2	1	4	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	2	2	3	2	2	3
hydronic heating camberwell		40	19	18	44	46	42	5	5	5	6	7	9	8	9	8	5	5	5	5	6	6	7	7	8	9	8	10	8	6	6	5	7	7	5	5	5	7	5	4	7	6
hydronic heating chadstone		20	18	17	-	9	17	1	2	1	1	1	3	3	3	1	1	1	1	1	1	1	1	2	2	1	3	3	3	3	1	3	1	2	3	3	2	2	2	2	2	2
hydronic heating croydon		16	14	24	16	7	11	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hydronic heating doncaster		38	23	-	41	35	46	5	10	5	4	5	5	5	6	6	5	5	5	5	5	5	5	5	4	5	5	6	4	4	5	4	5	5	5	4	4	5	5	4	3	5
hydronic heating eastern suburbs		-	27	25	32	-	26	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
hydronic heating ferntree gully		23	22	25	23	27	19	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1
hydronic heating forest hill		-	69	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1
hydronic heating glen iris		12	12	11	9	8	7	2	2	2	2	3	2	4	4	1	3	3	1	2	2	3	3	3	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2
hydronic heating glen waverley		-	14	15	-	-	-	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2
hydronic heating greensborough		23	13	7	21	-	18	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	3	1	2	2	3	2	3	3
hydronic heating hawthorn		10	6	6	7	5	4	5	4	3	6	6	4	6	3	3	4	5	5	4	4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
hydronic heating kew		9	9	12	7	5	7	3	4	4	2	2	2	3	2	2	1	1	1	3	2	2	3	4	4	4	5	5	5	5	5	5	5	5	5	5	5	3	5	5	9	11
hydronic heating lilydale		14	17	19	19	16	14	2	4	1	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
hydronic heating malvern		-	53	-	-	50	40	4	4	5	4	4	4	5	5	5	3	3	3	2	3	3	4	5	5	5	4	5	5	5	5	5	5	1	1	1	4	5	4	7	5	13
hydronic heating maroondah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hydronic heating mitcham		23	24	24	27	27	27	2	2	2	1	2	2	4	4	2	3	3	2	2	2	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	1	1	3
hydronic heating montrose		-	44	-	-	-	-	2	2	2	2	2	4	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1
hydronic heating mooroolbark		-	37	-	-	21	15	2	3	3	3	2	3	4	4	3	1	1	2	2	2	2	2	2	2	2	2	2	4	2	2	2	1	1	1	1	1	1	2	2	2	2
hydronic heating nunawading		30	31	15	21	27	26	1	1	1	1	1	3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1
hydronic heating ringwood		14	26	20	21	15	13	3	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1
hydronic heating surrey hills		18	15	15	14	15	20	2	1	1	1	2	3	4	4	4	2	2	2	2	3	3	3	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	1	1	1	2
hydronic heating templestowe		-	10	-	40	46	-	1	2	1	1	3	4	5	5	4	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	4	4	3
hydronic heating vermont		16	20	15	18	18	14	2	3	2	2	2	2	3	4	2	1	1	1	1	1	1	1	1	1	1	7	2	2	2	1	3	3	3	3	3	3	3	3	2	2	2
hydronic heating wantirna		26	31	31	31	25	37	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	3	2	1	2	1	2	1	1	1	1	1	1	1	1
hydronic heating warrandyte		-	56	-	-	-	-	1	1	1	1	1	4	4	4	3	3	2	2	2	4	3	3	3	3	4	4	5	5	3	3	1	3	3	3	3	1	2	1	1	1	1
reverse cycle air conditioning balwyn		8	7	16	15	12	17	1	1	1	1	1	2	2	2	-	2	3	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3
reverse cycle air conditioning bayswater		16	17	17	14	15	15	-	-	-	-	-	4	-	4	4	3	3	3	3	5	4	4	5	5	4	5	5	5	3	3	3	4	2	2	2	2	2	1	1	2	3
reverse cycle air conditioning blackburn		12	10	17	22	7	5	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
reverse cycle air conditioning box hill		35	35	42	39	37	29	3	1	2	-	2	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	2	2	1	1	1	1	1	1	1	3
reverse cycle air conditioning brighton		58	-	54	30	26	34	3	4	4	4	4	7	7	6	3	3	3	3	2	5	4	5	5	4	5	4	2	4	4	3	5	2	2	3	3	2	3	4	4	8	10
reverse cycle air conditioning bulleen		15	31	15	18	-	20	2	2	2	2	2	3	4	2	2	2	2	2	2	3	3	3	2	2	1	2	2	2	4	3	1	1	1	1	1	1	1	2	1	1	4
reverse cycle air conditioning camberwell		12	14	20	21	26	22	5	4	5	4	3	4	4	4	-	6	6	5	3	5	5	4	5	6	5	5	4	3	4	2	4	2	4	2	2	2	3	2	1	1	2
reverse cycle air conditioning chadstone		4	5	3	5	5	5	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2
reverse cycle air conditioning croydon		8	10	13	10	8	8	2	2	3	4	2	2	2	1	1	2	3	3	3	3	2	3	3	3	3	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1
reverse cycle air conditioning doncaster		21	16	27	26	35	9	3	1	1	1	1	2	2	3	1	2	2	3	2	2	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reverse cycle air conditioning eastern suburbs		2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reverse cycle air conditioning ferntree gully		11	12	10	10	18	18	3	3	3	3	3	3	3	3	3	2	3	2	2	2	2	2	2	2	2	3	3	2	2	3	2	3	3	3	3	1	1	1	1	1	2
reverse cycle air conditioning forest hill		-	-	-	-	-	-	1	1	1	1	1	1	3	3	3	2	2	1	1	2	3	2	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3	4	5
reverse cycle air conditioning glen iris		14	14	17	11	10	15	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	1	2	2	4	2	2	2	2	2	2	2	2	1	3	1	4
reverse cycle air conditioning glen waverley		-	-	-	-	-	-	2	3	4	3	2	2	4	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
reverse cycle air conditioning greensborough		-	-	-	32	25	22	3	3	4	6	6	7	7	5	3	3	3	3	4	5	4	4	4	3	2	2	2	1	4	2	2	2	2	2	2	2	3	3	3	5	7
reverse cycle air conditioning hawthorn		19	20	11	25	28	22	2	2	4	6	4	5	6	5	4	2	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
reverse cycle air conditioning kew		17	18	19	20	19	23	1	1	1	2	2	2	3	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	2	4	4	2
reverse cycle air conditioning lilydale		15	20	15	14	21	23	3	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	3	3	2	2	2	1	2	1	1	2	1	1	2
reverse cycle air conditioning malvern		11	10	13	11	9	9	2	2	2	2	2	2	4	2	3	2	2	1	2	2	2	2	2	1	1	1	4	2	2	2	2	2	2	2	2	2	2	4	3	4	6
reverse cycle air conditioning maroondah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reverse cycle air conditioning mitcham		4	6	6	4	6	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reverse cycle air conditioning montrose		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reverse cycle air conditioning mooroolbark		-	-	-	-	34	32	3	1	2	2	2	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	3	3	2	2	1	1	1	1	1	1
reverse cycle air conditioning nunawading		4	7	6	6	6	-	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reverse cycle air conditioning ringwood		10	14	17	11	9	10	-	-	2	-	-	-	-	-	2	2	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reverse cycle air conditioning surrey hills		11	16	14	12	14	18	2	1	1	3	2	3	3	4	3	1	1	2	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2
reverse cycle air conditioning templestowe		11	11	13	23	11	12	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
reverse cycle air conditioning vermont		2	5	2	4	5	5	2	1	1	2	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reverse cycle air conditioning wantirna		24	28	22	28	21	23	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	3	3	2	1	3	3	2	2	1	1	1	1	1	1
reverse cycle air conditioning warrandyte		-	28	-	35	40	-	1	1	1	2	1	3	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
split systems balwyn		5	7	9	-	10	10	3	2	2	3	3	4	4	5	3	4	3	2	1	1	2	2	2	2	3	2	6	4	3	4	2	2	2	4	4	1	3	2	3	3	3
split systems bayswater		32	25	20	48	47	46	5	4	4	6	3	5	6	7	6	4	5	3	4	4	4	3	6	6	3	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1
split systems blackburn		30	11	32	39	25	16	3	1	4	4	3	4	5	3	2	2	1	1	1	1	1	1	3	3	6	5	7	5	8	9	8	10	9	7	7	4	5	5	4	4	7
split systems box hill		60	54	72	64	43	56	3	2	2	2	1	4	-	-	-	2	2	2	2	2	2	2	2	2	4	2	4	2	3	2	2	2	2	1	1	1	1	1	1	1	1
split systems brighton		88	92	-	84	89	-	3	3	3	2	1	3	4	4	4	2	2	2	2	3	2	3	2	2	3	1	2	4	6	4	6	7	7	7	4	4	7	8	5	6	11
split systems bulleen		23	19	13	26	27	24	4	3	3	3	3	4	4	3	2	2	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2
split systems camberwell		21	19	-	21	-	25	5	5	6	5	2	3	3	3	4	4	5	5	4	5	5	6	5	5	6	5	7	6	5	7	3	3	3	2	2	2	3	3	2	2	2
split systems chadstone		5	5	4	6	5	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	2	2	3	3	4	5	3	3	2	2	2	1	1	1	1	1	1	1
split systems croydon		38	24	38	39	23	34	3	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
split systems doncaster		18	-	-	-	-	-	2	3	4	5	4	5	6	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	4	4	5	5	4	2
split systems eastern suburbs		9	4	4	2	2	4	2	1	2	2	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
split systems ferntree gully		47	21	43	47	41	49	4	1	1	1	1	2	5	5	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
split systems forest hill		-	-	-	-	-	-	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	4	3	1	2	2	2	3	3	4
split systems glen iris		12	8	11	10	7	4	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	2	2	2	2	2	3
split systems glen waverley		-	50	59	54	55	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
split systems greensborough		31	31	32	30	25	25	16	3	7	8	3	4	8	6	7	5	5	9	6	9	7	7	8	7	11	10	12	11	6	7	7	8	8	8	7	5	5	6	7	5	7
split systems hawthorn		23	64	-	-	-	-	4	2	5	5	2	5	5	4	3	3	2	2	2	2	4	4	4	1	7	4	8	7	5	5	6	5	5	4	5	3	4	4	4	3	6
split systems kew		24	-	-	-	-	-	2	2	2	1	1	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	3	3	2	2	2	2	2	2
split systems lilydale		26	15	28	30	36	22	4	3	3	4	4	3	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
split systems malvern		-	3	3	-	4	8	4	2	3	2	2	3	3	2	2	1	1	2	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4
split systems maroondah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
split systems mitcham		6	5	5	5	6	4	1	4	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
split systems montrose		-	-	-	-	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	2	3	3	2	2	2	2	2	2	2	1
split systems mooroolbark		-	-	-	-	-	-	2	2	2	3	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
